Fecha,BONOMX10,BONOUSA10,Close
03/09/20 0:00,5.75,0.636,5.114
04/09/20 0:00,5.76,0.721,5.039
07/09/20 0:00,5.76,0.72,5.04
08/09/20 0:00,5.75,0.682,5.068
09/09/20 0:00,5.73,0.698,5.032
10/09/20 0:00,5.72,0.682,5.038
11/09/20 0:00,5.69,0.669,5.021
14/09/20 0:00,5.64,0.676,4.964
15/09/20 0:00,5.62,0.68,4.94
17/09/20 0:00,5.61,0.689,4.921
18/09/20 0:00,5.62,0.697,4.923
21/09/20 0:00,5.69,0.669,5.021
22/09/20 0:00,5.66,0.671,4.989
23/09/20 0:00,5.69,0.677,5.013
24/09/20 0:00,5.64,0.668,4.972
25/09/20 0:00,5.66,0.656,5.004
28/09/20 0:00,5.7,0.658,5.042
29/09/20 0:00,5.8,0.651,5.149
